Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,Bsmt,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,Garage,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,65.0,8450,1,3,3,0,4,0,5,0,5,7,5,1,1,12,13,196.0,2,4,2,1,706,0,150,856,1,0,1,4.0,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,2,548,1,2,0,61,0,0,0,0,0,2,2008,8,4,208500
2,20,3,80.0,9600,1,3,3,0,2,0,24,0,2,6,8,1,1,8,8,0.0,3,4,1,1,978,0,284,1262,1,0,1,4.0,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,2,460,1,2,298,0,0,0,0,0,0,5,2007,8,4,181500
3,60,3,68.0,11250,1,0,3,0,4,0,5,0,5,7,5,1,1,12,13,162.0,2,4,2,1,486,0,434,920,1,0,1,4.0,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,2,608,1,2,0,42,0,0,0,0,0,9,2008,8,4,223500
4,70,3,60.0,9550,1,0,3,0,0,0,6,0,5,7,5,1,1,13,15,0.0,3,4,0,1,216,0,540,756,1,2,1,4.0,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,3,642,1,2,0,35,272,0,0,0,0,2,2006,8,0,140000
5,60,3,84.0,14260,1,0,3,0,2,0,15,0,5,8,5,1,1,12,13,350.0,2,4,2,1,655,0,490,1145,1,0,1,4.0,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,3,836,1,2,192,84,0,0,0,0,0,12,2008,8,4,250000
6,50,3,85.0,14115,1,0,3,0,4,0,11,0,0,5,5,1,1,12,13,0.0,3,4,5,1,732,0,64,796,1,0,1,4.0,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,2,480,1,2,40,30,0,320,0,0,700,10,2009,8,4,143000
7,20,3,75.0,10084,1,3,3,0,4,0,21,0,2,8,5,1,1,12,13,186.0,2,4,2,0,1369,0,317,1686,1,0,1,4.0,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,636,1,2,255,57,0,0,0,0,0,8,2007,8,4,307000
8,60,3,92.93563079833984,10382,1,0,3,0,0,0,14,0,5,7,6,1,1,6,6,240.0,3,4,1,1,859,32,216,1107,1,0,1,4.0,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,2,484,1,2,235,204,228,0,0,0,350,11,2009,8,4,200000
9,50,4,51.0,6120,1,3,3,0,4,0,17,0,0,7,5,1,1,3,15,0.0,3,4,0,1,0,0,952,952,1,2,1,1.0,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,2,468,1,2,90,0,205,0,0,0,0,4,2008,8,0,129900
10,190,3,50.0,7420,1,3,3,0,0,0,3,1,1,5,6,1,1,8,8,0.0,3,4,0,1,851,0,140,991,1,0,1,4.0,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,1,205,1,2,0,4,0,0,0,0,0,1,2008,8,4,118000
